Set,MAE,RMSE,R,MSE,R2
Valid,0.397,0.543,0.719,0.295,0.517
Test,0.481,0.612,0.819,0.375,0.662
Caco2,1.116,1.243,0.184,1.545,-4.071
MDCK,0.912,1.04,0.304,1.081,-1.291
RRCK,0.682,0.806,-0.06,0.649,-1.24
