Set,MAE,RMSE,R,MSE,R2
Valid,0.413,0.596,0.688,0.356,0.468
Test,0.487,0.617,0.814,0.381,0.656
Caco2,1.13,1.256,0.178,1.577,-4.175
MDCK,0.934,1.071,0.255,1.147,-1.431
RRCK,0.715,0.842,-0.089,0.709,-1.446
