Set,MAE,RMSE,R,MSE,R2
Valid,0.421,0.577,0.741,0.333,0.547
Test,0.488,0.62,0.813,0.384,0.654
Caco2,1.126,1.25,0.181,1.563,-4.13
MDCK,0.894,1.027,0.29,1.054,-1.233
RRCK,0.651,0.779,0.017,0.606,-1.091
