Set,MAE,RMSE,R,MSE,R2
Valid,0.39,0.563,0.702,0.317,0.481
Test,0.417,0.585,0.835,0.342,0.691
Caco2,0.772,0.958,0.284,0.917,-2.011
MDCK,0.783,0.909,0.602,0.826,-0.75
RRCK,0.602,0.779,0.28,0.607,-1.094
