Set,MAE,RMSE,R,MSE,R2
Valid,0.384,0.593,0.694,0.352,0.474
Test,0.418,0.588,0.833,0.346,0.688
Caco2,0.77,0.945,0.293,0.894,-1.933
MDCK,0.771,0.893,0.628,0.798,-0.691
RRCK,0.59,0.765,0.314,0.586,-1.021
