Set,MAE,RMSE,R,MSE,R2
Test,0.4247,0.57516,0.84081,0.33081,0.70173
Caco2,1.13621,1.26115,0.20963,1.59051,-4.20266
MDCK,0.79253,0.89443,0.42449,0.8,-0.69563
RRCK,0.54459,0.67828,-0.07182,0.46007,-0.92182
