Set,MAE,RMSE,R,MSE,R2
Test,0.48826,0.64769,0.79776,0.4195,0.62177
Caco2,1.08959,1.21491,0.15281,1.476,-3.82811
MDCK,0.76337,0.88569,0.15427,0.78445,-0.66267
RRCK,0.66039,0.83426,-0.21196,0.69598,-1.90729
