Set,MAE,RMSE,R,MSE,R2
Test,0.45411,0.60769,0.82985,0.36928,0.66704
Caco2,1.12125,1.25793,0.18151,1.58238,-4.17607
MDCK,0.79296,0.86464,0.24759,0.7476,-0.58457
RRCK,0.56777,0.72281,-0.05719,0.52245,-1.18241
