Set,MAE,RMSE,R,MSE,R2
Test,0.34787,0.48927,0.88572,0.23939,0.78416
Caco2,1.03592,1.17146,0.24192,1.37233,-3.48897
MDCK,0.8166,0.95759,0.60522,0.91697,-0.94355
RRCK,0.67979,0.79916,-0.14271,0.63866,-1.66782
