Set,MAE,RMSE,R,MSE,R2
Test,0.35385,0.5001,0.88405,0.2501,0.7745
Caco2,1.10523,1.23001,0.26583,1.51292,-3.94888
MDCK,0.81239,0.94578,0.59617,0.8945,-0.89592
RRCK,0.72706,0.87184,-0.20084,0.76011,-2.17516
