Set,MAE,RMSE,R,MSE,R2
Test,0.36396,0.51966,0.87834,0.27004,0.75652
Caco2,1.30337,1.44701,0.1195,2.09385,-5.84913
MDCK,0.83329,0.95958,0.50775,0.92079,-0.95165
RRCK,0.62738,0.74741,-0.19934,0.55862,-1.33349
