Set,MAE,RMSE,R,MSE,R2
Valid,0.396,0.571,0.696,0.326,0.467
Test,0.491,0.671,0.779,0.45,0.594
Caco2,0.787,0.959,0.28,0.919,-2.015
MDCK,0.722,0.912,0.292,0.832,-0.764
RRCK,0.671,0.797,0.237,0.636,-1.193
