Set,MAE,RMSE,R,MSE,R2
Valid,0.39,0.595,0.692,0.354,0.471
Test,0.481,0.657,0.79,0.431,0.611
Caco2,0.774,0.952,0.259,0.906,-1.973
MDCK,0.675,0.851,0.469,0.724,-0.535
RRCK,0.654,0.771,0.251,0.595,-1.052
