Set,MAE,RMSE,R,MSE,R2
Valid,0.418,0.611,0.712,0.374,0.492
Test,0.492,0.682,0.773,0.465,0.581
Caco2,0.791,0.961,0.298,0.923,-2.028
MDCK,0.722,0.875,0.37,0.766,-0.624
RRCK,0.66,0.778,0.248,0.605,-1.089
