ID,ID_org,SMILES,washed,%C,apol,arorings,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nNO,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,RBC,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
1,Anidulafungin,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,99.64196,172.08989,4,0,0,3,5,17,0,24,0,155,14,31,82,50,247.04083,1.5938119,0,0,58,0,0,73,0,7,24,17,0,0,1.0805914,-2.6463897,-0.64129227,0.70002359,2.8002536,-2.8851583,-0.55618817,0.57105708,2.6999185,-2.4138546,-0.49986199,0.8218435,3.0338485,95.686111,14,0.15909091,24,161,7,88,5,15,0.17045455,130,0,59.688412,45.740047,35.054714,38.291069,38.96545,27.278484,18.778175,22.587286,15,0,0.77276546,36,0,-0.83299315,-0.40945074,0.098577634,3.3381836,-1.1682682,-0.40311918,0.068797007,3.229327,-0.53250682,-0.23951069,0.19305076,3.5647969,25.088558,49.292385,23.39502,3.1782551,3.1777499,-9.0830755,0,20.310125,30.220825,-0.003580389,9.4445124,14,1.0240238,0.002138332,69.473396,32.653061,18.348091,54.307552,25.443516,14.265869,16.850914,24,14,0,3,1.085,-10.39139,29.642357,1,1,53,0,6,27,5,0,0,9.1996098,-9.1996098,0.027461533,0.042388499,152.63046,196.51117,33.590549,52.491005,170.61475,12.949531,0,130.76878,177.44702,0,0,0,94.968445,73.096077,0.67889768,0.43493229,0.15347408,0.32110229,0.56506771,0.16762823,743.43903,476.28033,168.06451,351.62878,618.78748,183.56427,0.5,1,0,0,0,0,1,0,0,0,1,0,1095.0677,0,0,0,1095.0677,0,18,14,0,7,0,0,1,-0.83160001,329.52069,43.060112,211.91682,57.805416,34.644161,0,0,295.03326,100.81068,143.79091,29.349621,167.03551,245.71556,94.464546,92.070183,12.7423,376.63297,94.616898,133.30406,377.42001,0.17483048,7.4594316,4.7278819,12.428274,1095.0677,1475.5498,97.472198,0,0,28.41288,644.05341,103.59624,247.98737,1140.254,39238,144,428
2,Pasireotide,O=C(O[C@]1CN2C(=O)[C@](Cc3ccccc3)NC(=O)[C@](Cc3ccc(OCc4ccccc4)cc3)NC(=O)[C@](CCCCN)NC(=O)[C@@](Cc3c4c([nH]c3)cccc4)NC(=O)[C@](c3ccccc3)NC(=O)[C@@]2C1)NCCN,O=C(O[C@]1CN2C(=O)[C@](Cc3ccccc3)NC(=O)[C@](Cc3ccc(OCc4ccccc4)cc3)NC(=O)[C@](CCCC[N+])NC(=O)[C@@](Cc3c4c([nH]c3)cccc4)NC(=O)[C@](c3ccccc3)NC(=O)[C@@]2C1)NCC[N+],97.68573,165.63992,6,0,0,3,5,8,0,33,2,145,7,15,77,51,225.62784,1.5560541,0,0,58,0,0,68,0,10,19,9,0,0,1.1141829,-2.66642,-0.55739999,0.60125721,2.7687719,-3.3008354,-0.53807992,0.68156713,2.6667562,-2.4379814,-0.40654948,0.75632447,3.0052898,88.836075,17,0.20238096,34,152,7,84,4,19,0.22619048,111,0,54.098862,42.9188,33.883141,38.157551,37.452263,26.207253,18.21212,23.297958,7,0,0.73693603,24,2,-0.8629536,-0.38948855,0.11604973,3.3366792,-2.2348571,-0.33813858,0.159713,3.2769573,-0.6418252,-0.21605732,0.1890935,3.5795641,15.12757,82.686852,26.46137,1.252918,-4.2723894,-5.6846385,0,24.38769,29.644016,1.9768389,8.625761,14,1.1203771,0.013959029,63.031746,32.894737,19,45.976288,23.888088,13.75562,14.263451,19,13,0,3,4.3930001,-10.57225,29.368486,0,1,56,0,7,28,5,0,0,9.44137,-7.44137,0.038254522,0.048499636,133.36699,242.77254,18.875763,60.333092,77.697189,0,70.913589,73.911346,245.09808,0,0,13.566921,83.905281,5.6728616,0.75465113,0.41141105,0.10052012,0.24534889,0.58858895,0.14482877,774.35779,422.15448,103.14507,251.75584,603.95917,148.61078,0.45833334,0.84615386,0,0,0,0,1,0,0,0,1,0,1026.1136,0,0,0,1026.1136,0,13,17,0,8,0,0,1,2.29671,184.85876,41.993652,197.3372,73.758316,15.927875,56.605217,0,427.7247,79.455589,50.031902,28.61841,178.0354,14.124202,190.64441,51.531765,4.7171016,576.0127,112.62765,0,284.44,0.18597351,7.3923173,4.2737527,12.322138,1026.1136,1423.7911,97.472198,0,35.484978,75.263008,674.87598,99.400452,172.73521,1049.2429,28784,123,396
