PNSA1,PNSA2,PNSA3,PNSA4,PNSA5,PPSA1,PPSA2,PPSA3,PPSA4,PPSA5,DPSA1,DPSA2,DPSA3,DPSA4,DPSA5,FNSA1,FNSA2,FNSA3,FNSA4,FNSA5,FPSA1,FPSA2,FPSA3,FPSA4,FPSA5,WNSA1,WNSA2,WNSA3,WNSA4,WNSA5,WPSA1,WPSA2,WPSA3,WPSA4,WPSA5,RNCS,RPCS,TASA,TPSA,RASA,RPSA,GeomDiameter,GeomRadius,GeomShapeIndex,GeomPetitjeanIndex,GRAV,GRAVp,Mor01,Mor01m,Mor01v,Mor01se,Mor01p,MOMI-X,MOMI-Y,MOMI-Z,PBF
1139.9139078763164,-10779.901244281085,-211.62893446080383,-69.54774996310378,-207.3057931592516,377.2480751444526,3567.5474845540475,28.97458903820476,23.01643538421967,34.636383345184925,-762.6658327318638,14347.448728835134,240.6035234990086,92.56418534732344,241.94217650443653,0.7513462113034715,-7.105306727247143,-0.13949000622823196,-0.0458406885628848,-0.13664051398552196,0.24865378869652863,2.3514611653073634,0.019097887610203923,0.015170717195531381,0.022829720051527797,1729.4340449465865,-16354.856348541547,-321.0753738711255,-105.51520224865514,-314.51646824118353,572.3464377769259,5412.547416186775,43.95914496241457,34.919660749592104,52.54900404064829,977.8524887249582,79.3154293622977,975.1911905459273,541.9707924748413,0.6427732842370976,0.3572267157629022,31.015192495775356,15.759006947139783,0.9680930784413754,0.4918939500605598,21114.313940909105,6801.445652230251,11935.0,4457.147264169725,4496.728977980122,12348.50328386016,4953.914167739683,75719.08638018678,71871.1914398747,11334.622597722133,0.7904602131424322
1173.191654804759,-11094.60117297054,-194.35528423766957,-71.5780720836809,-213.35771486481806,279.6365052619186,2644.4575245470596,19.84795736505161,17.061016287400395,25.674344898515148,-893.5551495428405,13739.058697517601,214.20324160272116,88.63908837108129,239.03205976333322,0.8075226561900585,-7.63655432756848,-0.133777200621407,-0.04926809243592567,-0.14685681399170153,0.19247734380994147,1.8202135649860283,0.013661600119411702,0.011743313322490512,0.017671976359087658,1704.445873255579,-16118.549008800397,-282.36482999824966,-103.99063876645415,-309.9720963230845,406.2637894271491,3841.9423597621862,28.835671379749797,24.78672490169154,37.30041125982706,977.4622842202795,36.68338608006269,979.5472373736794,473.2809226929984,0.6742347541836764,0.32576524581632355,34.097119144438,17.582177036419584,0.9393001830097315,0.48435007186559836,20773.303424744932,6786.501606668822,11935.0,4457.147264169725,4496.728977980122,12348.50328386016,4953.914167739684,83246.05281995019,80234.63172817757,11316.312844455664,0.8180394504186309
1194.9920327471195,-11300.762287141406,-214.69777064186277,-72.9081437880091,-217.32235167579628,235.57183348738775,2227.7481513137254,18.22574885993948,14.372568718153062,21.628622828288613,-959.4201992597318,13528.51043845513,232.92351950180225,87.28071250616216,238.9509745040849,0.8353293837153503,-7.8995160956266695,-0.15007912314113223,-0.05096461997178498,-0.15191377106974366,0.1646706162846499,1.5572517969278408,0.012740255286828138,0.010046785786631228,0.01511894948473633,1709.512422486152,-16166.46218889012,-307.1388728413527,-104.29975605735565,-310.89350363250236,337.0005528896689,3186.9360083401384,26.073097754094178,20.56087747316218,30.941126294564476,975.511261696886,21.811743074631874,913.3379509603558,517.2259152741517,0.6384461208043931,0.36155387919560716,32.458492964091846,17.384799326423067,0.8670616988231983,0.464399060496878,20643.608558479915,6797.141959845685,11935.0,4457.147264169725,4496.728977980121,12348.503283860155,4953.914167739683,84799.960786547,76602.4566115029,12486.939699484094,0.6257445133696201
1227.3140899828686,-11606.42448022975,-223.62110906275933,-74.88015793696614,-223.20047077364904,166.1906201064321,1571.6261202662313,13.176115719283812,10.139523356556328,15.258506022002244,-1061.1234698764365,13178.050600495983,236.79722478204314,85.01968129352247,238.4589767956513,0.8807391041428325,-8.328945281775162,-0.16047388103082108,-0.05373513085016234,-0.16017202464952235,0.11926089585716719,1.127822610779346,0.009455379392610331,0.007276274908253843,0.010949734085236367,1710.2679651500919,-16173.607180495927,-311.61706875434845,-104.34585277739308,-311.0309073172294,231.58741189097486,2190.068401090368,18.36097931550367,14.129473555421724,21.26280001058609,976.291670706243,0.0,850.0880546595536,543.4166554297473,0.610036011004998,0.3899639889950017,31.750812987071686,16.323510104447507,0.9450971503010772,0.48588686182321933,20536.768777557816,6803.342792733411,11935.0,4457.147264169725,4496.728977980121,12348.50328386016,4953.914167739682,81302.41660534822,74627.16488945123,11275.007386477926,0.6177442431407006
1183.172219099849,-11188.985052945925,-213.8770211412176,-72.1870003415866,-215.17278947972932,183.81367662375953,1738.2832753079663,12.83355087316319,11.214730808438492,16.8765366534754,-999.3585424760894,12927.268328253891,226.71057201438077,83.40173115002509,232.04932613320472,0.8655335967995057,-8.18515032814079,-0.1564588353181235,-0.052807421471876045,-0.15740673707963054,0.13446640320049424,1.2716175644137226,0.00938821015879597,0.008203984286540147,0.012345801596249735,1617.3797357214967,-15295.184754839353,-292.3668713194245,-98.67861132154418,-294.13816836229523,251.27070338577965,2376.2087201182285,17.543283035665482,15.330378839472441,23.06998757396338,886.1544301254511,0.0,860.1279997263956,506.85789599721295,0.6292149775774316,0.3707850224225684,33.73525346162379,17.184382744224482,0.9631344322193888,0.4906105340582984,20853.546285814453,6798.321458747903,11935.0,4457.147264169725,4496.728977980122,12348.50328386016,4953.914167739682,84756.33644738382,81068.41834264598,8631.96493752033,0.6469294375125653
1152.694600989684,-10900.765292560176,-191.29087395086114,-70.32751801651726,-209.63010178000337,384.4284825976679,3635.4509312130767,28.3331339407301,23.454522136858543,35.29564010886481,-768.2661183920161,14536.216223773252,219.62400789159125,93.7820401533758,244.92574188886817,0.7499039037911751,-7.091667159873672,-0.12444733671192079,-0.045752691354023683,-0.1363782146129552,0.25009609620882484,2.365100732680839,0.0184325733204175,0.0152587144043925,0.022962143035736293,1771.8334795077553,-16755.817959962078,-294.0376180294671,-108.10205135459405,-322.22726846080917,590.913894589334,5588.135545616754,43.55151421066851,36.05248739107581,54.25374316132769,979.4133067436732,80.30687222932646,1062.6508438863682,474.4722397009838,0.6913244978445994,0.3086755021554007,33.72752576916961,17.70711978696705,0.9047437513803935,0.47499499642653426,21104.979028750175,6802.215714965382,11935.0,4457.147264169725,4496.728977980122,12348.50328386016,4953.914167739683,78653.63865729854,73521.8663487049,10787.629324108973,0.755599830731994
1182.4845252054413,-11182.481691405379,-206.39702746846243,-72.1450431703573,-215.04772483471888,469.7031066251227,4441.8732577655655,36.482536626394115,28.657246824293967,43.12498308510258,-712.7814185803186,15624.354949170945,242.87956409485653,100.80228999465126,258.17270791982145,0.715708375019907,-6.768287981320618,-0.12492347932648666,-0.04366637407303625,-0.13015938425616574,0.284291624980093,2.68847991123389,0.022081351974516834,0.017345031685379934,0.02610174671100864,1953.6863073754669,-18475.557943711694,-341.00661602998684,-119.19714802394643,-355.29919122522494,776.0376633984204,7338.8080586392025,60.27599579193391,47.3471487654142,71.25056367610875,850.6458201996843,127.89612984670505,1111.4057070030506,540.7819248275133,0.6726873422794318,0.32731265772056806,30.852383562538567,15.675125645748427,0.9682383580068257,0.49193145437289965,20583.341442443794,6795.797756636963,11935.0,4457.147264169725,4496.728977980121,12348.50328386016,4953.914167739684,87108.80790918825,80296.4088432851,11584.768249034387,0.697157993637936
1169.5621064403908,-11060.277376533913,-205.16154836841525,-71.35662823570266,-212.69764185642137,403.8214750512324,3818.845959588499,30.547757913560428,24.63771586831288,37.07617436493686,-765.7406313891584,14879.123336122413,235.70930628197567,95.99434410401554,249.77381622135823,0.7433420052163022,-7.029612808116617,-0.13039512473742404,-0.045352340697526555,-0.1351848616945503,0.2566579947836975,2.427155084437895,0.019415327751545534,0.015659065060889633,0.023564612470270807,1840.1698158080699,-17402.05883098171,-322.7978117562642,-112.27134729665617,-334.6549775188789,635.3660786993385,6008.509533062169,48.0633407525768,38.764577632659126,58.33504401031229,962.244308537808,103.11005817098703,1048.6580476310864,524.725533860537,0.6664986593014535,0.3335013406985463,29.62066841683354,15.711501215988243,0.885285690376368,0.46957641215620455,20924.25406741789,6802.352016286608,11935.0,4457.147264169725,4496.728977980121,12348.50328386016,4953.914167739683,76428.64423788797,71480.25482601198,11370.477063280225,0.826819959024387
1163.8536806714271,-11006.294119004944,-214.88703505167027,-71.0083491548706,-211.65950228855658,171.6476255427627,1623.231754066018,14.239200274348448,10.472462929458182,15.75953159287396,-992.2060551286644,12629.525873070963,229.12623532601873,81.48081208432879,227.41903388143055,0.8714732627036205,-8.241320369955321,-0.16090365022616182,-0.05316980883842143,-0.15848693019144847,0.12852673729637937,1.215447522599189,0.010662063906708558,0.007841596919994767,0.011800461384458144,1554.328110778884,-14698.92017250866,-286.98191600000007,-94.83174304844296,-282.67154177901267,229.23562812092376,2167.828127843518,19.016470565837803,13.985987921571084,21.04687502760697,922.8336535652538,0.0,809.2668191877817,526.2344870264081,0.605964827905597,0.39403517209440286,29.126547999720117,15.8462793746671,0.8380685655639597,0.4559506545430866,21100.0831797053,6795.923460912769,11935.0,4457.147264169725,4496.728977980122,12348.50328386016,4953.914167739683,77613.76393695326,72754.72059920077,10844.044965005713,0.693453576089371
1115.628096762506,-10550.235965495363,-199.4427138655559,-68.06603848706683,-202.88915318260314,211.6656654091872,2001.6730685977868,14.476157590728949,12.914019797405075,19.433719112599874,-903.9624313533187,12551.90903409315,213.91887145628485,80.98005828447191,222.322872295203,0.8405283958670431,-7.9486819468158005,-0.1502626769971641,-0.05128181901171482,-0.15285926820799617,0.1594716041329568,1.5080859457387088,0.010906521226351076,0.009729586746701345,0.014641611123676786,1480.7662137363525,-14003.262386441449,-264.71907002434625,-90.34362829962221,-269.2935074315663,280.94251736353493,2656.8081778569144,19.214113670388944,17.14069792165751,25.79425415395063,974.3406481828495,0.0,854.3166432877059,472.97711888398715,0.6436530236455635,0.3563469763544363,30.073136269102363,16.122903235769915,0.8652432399633071,0.46387689360039075,21221.56846361645,6791.234643112805,11935.0,4457.147264169725,4496.728977980121,12348.50328386016,4953.914167739684,79382.203619114,74039.52869622692,9544.643350763894,0.5637908776050007
